,d1,d2,d3,d4,d5,d6,Temperature,Humidity,Weather
248,28.61,20.232,21.751,13.082,10.91,26.67,,,
249,28.341,21.526,21.78,13.921,11.356,26.367,,,
250,28.337,18.428,21.712,12.859,10.543,26.642,,,
251,28.608,23.041,22.405,13.554,13.082,27.147,,,
252,28.241,22.884,21.128,13.358,12.471,27.018,,,
253,28.499,20.366,21.825,11.761,13.357,27.253,,,
254,28.242,19.919,22.471,12.218,15.602,26.62,,,
255,27.797,21.626,22.261,12.218,12.471,26.218,,,
256,28.622,21.959,21.512,12.471,11.76,26.316,,,
257,29.057,21.585,22.749,12.863,13.357,25.901,,,
258,28.669,21.809,22.156,12.131,15.227,25.966,,,
259,28.628,19.799,22.748,9.3682,13.552,25.789,,,
260,28.566,20.957,22.536,9.1783,12.218,25.962,,,
261,28.506,21.804,22.584,11.761,10.91,26.594,,,
262,29.098,21.689,22.261,11.354,11.531,26.745,,,
263,28.434,21.061,21.865,11.249,11.249,26.407,,,
264,28.544,21.92,21.669,13.358,12.215,26.567,,,
265,28.339,21.96,22.085,12.863,13.081,27.029,,,
266,28.888,21.229,22.495,11.248,11.356,27.424,,,
267,29,21.281,22.261,12.218,10.909,26.779,,,
268,28.628,21.308,20.803,11.356,11.248,27.06,,,
269,28.796,20.673,21.749,12.471,13.357,26.517,,,
270,28.17,19.613,22.471,11.246,12.153,25.815,,,
271,28.231,20.381,22.463,12.218,11.759,25.509,,,
272,28.442,19.104,21.345,12.389,13.355,26.131,,,
273,28.829,18.38,22.295,13.358,12.471,27.494,,,
274,28.809,18.041,21.249,12.471,12.13,26.741,,,
275,28.221,19.157,22.84,13.08,11.759,26.594,,,
276,28.457,21.789,21.345,12.471,11.76,26.345,,,
277,28.51,19.29,22.059,12.863,13.921,26.027,,,
278,28.499,20.996,20.91,12.218,12.388,27.151,,,
279,28.78,14.618,22.495,11.761,12.471,26.168,,,
280,27.837,19.664,21.912,13.082,15.141,26.41,,,
281,29.325,18.833,22.261,13.358,14.522,27.575,,,
282,28.331,20.456,21.345,12.471,13.92,26.677,,,
283,28.73,19.281,21.302,12.863,13.553,27.734,,,
284,28.904,17.959,22.085,13.802,13.082,27.026,,,
285,28.447,22.016,21.622,12.218,14.259,27.173,,,
286,28.69,21.894,20.656,13.358,13.357,27.34,,,
287,28.448,20.127,21.303,13.358,13.357,27.037,,,
288,28.616,19.21,21.303,13.799,15.481,27.887,,,
289,28.678,18.036,22.156,12.389,13.862,27.365,,,
290,28.905,17.351,22.285,12.218,12.854,27.439,,,
291,28.513,20.931,20.91,13.358,13.357,28.408,,,
292,28.073,19.115,21.893,13.358,11.356,27.608,,,
293,27.654,19.025,22.591,13.038,12.218,26.62,,,
294,28.055,18.297,23.357,13.358,12.388,27.668,,,
295,28.43,19.945,22.584,13.082,13.082,27.139,,,
296,29.262,17.461,21.26,13.802,13.921,27.824,,,
297,29.26,21.595,21.298,13.554,11.249,27.934,,,
298,29.053,21.72,21.249,12.218,14.366,26.871,,,
299,29.109,20.175,23.103,13.29,10.791,27.441,,,
300,28.622,16.196,22.397,13.554,13.357,27.934,,,
301,29.097,21.247,21.356,12.863,12.13,26.717,,,
302,28.46,20.647,22.959,12.389,13.861,26.619,,,
303,27.494,19.199,21.161,12.863,12.862,26.122,,,
304,27.882,20.216,22.405,13.357,13.29,25.872,,,
305,28.692,20.389,22.218,12.471,12.388,26.197,,,
306,28.499,14.798,20.851,13.862,14.259,26.027,,,
307,27.731,23.612,21.682,13.802,13.921,25.505,,,
308,28.653,19.967,22.156,13.862,13.081,26.411,,,
309,28.65,22.527,21.512,13.821,11.356,25.506,,,
310,27.477,23.332,21.767,13.358,11.249,26.081,,,
311,28.624,23.154,22.847,14.366,12.471,25.386,,,
312,28.623,21.908,22.84,14.367,10.91,26.825,,,
313,28.617,21.302,22.495,14.523,13.357,26.113,,,
314,28.364,22.584,22.086,15.096,13.082,26.316,,,
315,29.033,22.167,22.536,15.096,11.249,25.673,,,
316,28.236,22.535,22.462,15.759,11.761,26.515,,,
317,28.457,22.624,21.75,14.771,9.3781,20.743,,,
318,26.656,21.779,22.584,14.722,11.76,28.485,,,
319,26.955,22.177,22.56,13.862,12.13,26.317,,,
320,27.476,21.751,22.388,12.863,10.543,27.4,,,
321,28.039,22.761,21.512,12.218,10.543,27.754,,,
322,28.901,20.963,22.295,12.471,11.76,26.024,,,
323,29.331,21.616,22.56,12.863,12.218,26.563,,,
324,27.776,21.685,22.495,12.389,11.249,24.633,,,
325,28.115,21.393,22.156,14.771,13.358,25.661,,,
326,27.678,22.685,22.839,11.249,13.079,25.661,,,
327,29.786,21.114,22.892,13.358,12.471,25.594,,,
328,28.269,21.837,21.259,12.389,12.471,26.826,,,
329,27.754,22.51,21.76,13.862,10.91,25.951,,,
330,29.149,22.309,22.861,12.389,11.249,26.96,,,
331,29.797,22.491,22.748,12.389,12.388,25.661,,,
332,29.267,21.015,22.663,12.471,13.29,26.472,,,
333,29.973,22.462,21.912,13.082,13.357,26.112,,,
334,28.68,20.524,22.84,13.358,12.13,25.815,,,
335,28.288,13.976,22.686,13.358,13.553,25.857,,,
336,28.119,20.009,22.495,12.218,12.863,25.759,,,
337,28.982,22.372,22.663,11.249,13.082,26.387,,,
338,28.359,22.157,22.396,10.911,11.761,25.485,,,
339,26.841,20.907,22.958,12.218,11.76,26.871,,,
340,30.322,13.087,22.085,9.8526,12.863,25.335,,,
341,28.87,21.353,22.022,11.249,11.249,27.703,,,
342,24.188,18.292,21.779,11.761,13.081,25.167,,,
343,25.344,22.248,22.748,10.792,10.28,25.073,,,
344,25.441,19.993,23.344,12.863,10.537,26.306,,,
345,28.659,20.899,23.753,12.389,10.309,26.85,,,
346,27.857,20.624,22.405,12.863,10.543,25.546,,,
347,28.466,21.54,22.725,12.471,8.2387,26.437,,,
348,27.843,20.08,23.553,12.471,10.791,25.302,,,
349,28.261,20.841,22.686,12.471,9.3781,25.626,,,
350,28.476,23.324,22.536,12.218,10.543,25.89,,,
351,27.692,22.533,22.98,12.218,10.91,25.891,,,
352,28.582,22.862,22.471,13.554,13.358,25.962,,,
353,28.494,22.999,22.899,11.249,13.29,26.023,,,
354,28.185,22.304,21.712,11.249,12.388,25.335,,,
355,27.744,21.478,22.616,13.554,13.357,25.697,,,
356,28.715,21.197,22.862,12.218,12.218,26.038,,,
357,27.997,20.795,22.405,12.218,13.921,25.735,,,
358,28.348,22.032,22.847,11.761,13.861,26.193,,,
359,28.634,21.085,22.863,12.218,15.481,25.661,,,
360,28.734,22.548,21.26,11.356,12.388,26.037,,,
361,28.594,20.909,22.899,11.249,12.388,26.038,,,
362,29.067,19.979,22.261,11.249,12.863,26.515,,,
363,28.821,16.869,22.218,10.543,11.356,25.386,,,
364,28.578,20.577,22.388,11.249,13.357,26.081,,,
365,28.808,20.357,23.357,11.249,13.357,24.964,,,
366,27.78,19.782,22.259,10.911,11.758,26.514,,,
367,29.044,22.321,22.338,11.249,12.437,25.594,,,
368,28.451,21.852,22.748,11.356,12.218,25.871,,,
369,28.415,21.831,22.47,10.543,11.249,26.886,,,
370,27.777,19.196,22.403,10.543,13.357,26.437,,,
371,28.444,21.106,22.261,11.761,10.543,26.763,,,
372,28.545,22.29,22.462,10.543,11.356,26.152,,,
373,28.783,22.613,21.712,12.218,11.249,26.523,,,
374,28.37,21.984,21.62,11.761,11.76,27.326,,,
375,28.311,19.878,22.295,11.761,9.2077,26.106,,,
376,27.694,14.383,22.495,10.911,10.91,26.307,,,
377,28.21,22.09,22.049,11.357,10.28,26.717,,,
378,28.619,20.426,22.47,11.761,8.2327,25.951,,,
379,28.526,22.481,21.712,10.28,10.543,25.63,,,
380,28.451,18.365,22.058,10.792,8.9877,24.538,,,
381,28.88,21.295,23.186,11.249,9.8524,24.889,,,
382,28.741,24.035,22.616,11.249,9.378,24.522,,,
383,28.835,24.152,22.13,12.218,12.471,25.816,,,
384,28.019,23.712,22.156,11.357,12.129,25.697,,,
385,28.737,24.118,23.879,12.131,11.76,25.369,,,
386,28.882,22.07,22.404,10.911,11.249,25.096,,,
387,29.158,22.538,22.899,11.249,12.218,25.994,,,
388,28.753,23.807,22.584,12.471,11.249,26.331,,,
389,28.751,22.215,22.907,12.471,12.849,25.846,,,
390,28.701,23.641,22.584,11.761,14.523,23.938,,,
391,28.484,24.087,22.592,11.761,14.366,25.506,,,
392,28.437,22.129,22.888,12.218,13.801,25.847,,,
393,28.947,20.408,22.388,12.131,13.553,25.301,,,
394,28.372,24.126,23.357,12.131,12.471,25.127,,,
395,28.612,23.629,23.019,11.356,12.471,25.602,,,
